word	F	1888_EDIC	1896_MM	1900_R	1907_EC	1919_ES	1922_DS	1932_2S	1934_PM
autant que possible	9	0	0	1	5	1	0	0	2
aussi près que possible	8	0	2	1	1	0	0	3	1
aussi loin que possible	3	0	0	0	0	0	0	1	2
aussi grande que possible	2	0	0	0	1	1	0	0	0
aussi haut que possible	2	0	0	0	2	0	0	0	0
aussi indépendant que possible	2	0	0	0	2	0	0	0	0
aussi souple que possible	2	0	0	0	2	0	0	0	0
aussi bas que possible	1	0	0	0	1	0	0	0	0
aussi différentes que possible	1	0	1	0	0	0	0	0	0
aussi disparates que possible	1	0	0	0	0	0	0	0	1
aussi exactement que possible	1	0	0	1	0	0	0	0	0
aussi profondément que possible	1	0	0	0	0	0	0	0	1
aussi rapproché que possible	1	0	0	0	0	0	1	0	0
aussi restreint que possible	1	0	0	0	0	0	0	1	0
aussi voisine que possible	1	0	0	0	0	0	0	0	1
aussi voisines que possible	1	0	0	0	1	0	0	0	0
